"","rowid","fighterName"
"436",436,"/fighter/Kevin-Knabjian-7730"
"437",437,"/fighter/Brian-Cobb-5739"
"438",438,"/fighter/Matt-Veach-23350"
"439",439,"/fighter/Dennis-Bermudez-58065"
"440",440,"/fighter/Freddy-Sandoval-21054"
"441",441,"/fighter/Nik-Lentz-15058"
"442",442,"/fighter/Tyler-Stinson-17728"
"443",443,"/fighter/Ferrid-Kheder-2098"
"444",444,"/fighter/Jason-MacKay-15903"
"445",445,"/fighter/Jose-Cortez-2756"
"446",446,"/fighter/Jesse-Taylor-17389"
"447",447,"/fighter/Joe-Manzello-10771"
"448",448,"/fighter/Richard-Villa-11588"
"449",449,"/fighter/Jeff-Horlacher-624"
"450",450,"/fighter/Jae-Suk-Lim-8538"
"451",451,"/fighter/Mark-Weir-3599"
"452",452,"/fighter/Anthony-Lapsley-18590"
"453",453,"/fighter/Keita-Nakamura-9572"
"454",454,"/fighter/Karo-Parisyan-5153"
"455",455,"/fighter/Kurt-Pellegrino-4153"
"456",456,"/fighter/Josh-Koscheck-9418"
"457",457,"/fighter/Brandon-Melendez-10515"
"458",458,"/fighter/Robert-Briggs-1776"
"459",459,"/fighter/Nick-Diaz-2831"
"460",460,"/fighter/Kenny-Florian-8021"
"461",461,"/fighter/Kyle-Brees-5716"
"462",462,"/fighter/Fabio-Holanda-5999"
"463",463,"/fighter/Shaun-Beckett-3091"
"464",464,"/fighter/Greg-Bell-3119"
"465",465,"/fighter/Dennis-Hallman-275"
"466",466,"/fighter/Landon-Showalter-2803"
"467",467,"/fighter/John-Lansing-979"
"468",468,"/fighter/Edwin-Dewees-720"
"469",469,"/fighter/Kimo-Stant-1149"
"470",470,"/fighter/Maurice-Wilson-1060"
"471",471,"/fighter/Agnaldo-Lima-821"
"472",472,"/fighter/Jerry-Parsons-1124"
"473",473,"/fighter/Cedric-Marks-1918"
"474",474,"/fighter/Michael-Chavez-990"
"475",475,"/fighter/Ryan-Brown-726"
"476",476,"/fighter/Bill-Cameron-633"
"477",477,"/fighter/Owen-Phelps-835"
"478",478,"/fighter/Jamie-Clark-871"
"479",479,"/fighter/Shawn-Polso-12166"
"480",480,"/fighter/Clarence-Jordan-69480"
"481",481,"/fighter/Adam-Townsend-110341"
"482",482,"/fighter/Billy-Christianson-51593"
"483",483,"/fighter/LorawntT-Nelson-59364"
"484",484,"/fighter/Thiago-Alves-Cavalcante-Rodrigues-120211"
"485",485,"/fighter/Adam-Nijem-125701"
"486",486,"/fighter/Shane-Campbell-34625"
"487",487,"/fighter/Aaron-Gallant-21043"
"488",488,"/fighter/Sean-Powers-54628"
"489",489,"/fighter/Alex-Reyes-92695"
"490",490,"/fighter/Cruz-Soltero-76906"
"491",491,"/fighter/Vincent-Vigil-14903"
"492",492,"/fighter/Jason-Brenton-67335"
"493",493,"/fighter/Dustin-Center-38335"
"494",494,"/fighter/Milan-Zerjal-76321"
"495",495,"/fighter/Brian-Scoggins-78812"
"496",496,"/fighter/Joey-Guevara-50366"
"497",497,"/fighter/Nick-Laney-60250"
"498",498,"/fighter/Gabe-Kintzley-77923"
"499",499,"/fighter/Zach-Harvey-83979"
"500",500,"/fighter/Ali-Hanjani-44921"
"501",501,"/fighter/Zach-Valdez-45004"
"502",502,"/fighter/Estaban-Hinostorza-65135"
"503",503,"/fighter/Aaron-Gardner-51031"
"504",504,"/fighter/Sililo-Nikoau-43159"
"505",505,"/fighter/Eric-Wisely-25320"
"506",506,"/fighter/Abram-Torres-38030"
"507",507,"/fighter/Brad-Mitchell-48396"
"508",508,"/fighter/Clayton-Robinson-36290"
"509",509,"/fighter/Aaron-Carter-62068"
"510",510,"/fighter/Calvin-Miller-68368"
"511",511,"/fighter/Keith-Miner-38987"
"512",512,"/fighter/Armando-Servin-63191"
"513",513,"/fighter/Burt-McDonald-69323"
"514",514,"/fighter/Jordan-Wright-79138"
"515",515,"/fighter/Clint-Roberts-74600"
"516",516,"/fighter/Gabe-Gonzales-72039"
"517",517,"/fighter/Ian-Stonehouse-35600"
"518",518,"/fighter/Ryan-Mackin-13625"
"519",519,"/fighter/Corey-Grant-31244"
"520",520,"/fighter/Brett-Roller-30660"
"521",521,"/fighter/Brian-Wood-33929"
"522",522,"/fighter/Tony-Snyder-95783"
"523",523,"/fighter/Roosevelt-Roberts-191653"
"524",524,"/fighter/Anderson-Hutchinson-135951"
"525",525,"/fighter/Adil-Benjilany-150331"
"526",526,"/fighter/John-Teixeira-44311"
"527",527,"/fighter/Kamuela-Kirk-162187"
"528",528,"/fighter/Darrick-Minner-92115"
"529",529,"/fighter/Nate-Jennerman-64549"
"530",530,"/fighter/CJay-Hunter-67783"
"531",531,"/fighter/Matt-Bessette-34374"
"532",532,"/fighter/Tatsuya-Ando-174625"
"533",533,"/fighter/Lenny-Wheeler-38121"
"534",534,"/fighter/Rasul-Mirzaev-66959"
"535",535,"/fighter/Jacob-Akin-75493"
"536",536,"/fighter/Bryan-Goldsby-20999"
"537",537,"/fighter/Aslan-Toktarbaev-86849"
"538",538,"/fighter/Deryck-Ripley-10941"
"539",539,"/fighter/Dustin-Phillips-16173"
"540",540,"/fighter/Javier-Lujan-154773"
"541",541,"/fighter/Adam-Rider-32073"
"542",542,"/fighter/Brian-Pearman-45228"
"543",543,"/fighter/Brian-Davidson-32079"
"544",544,"/fighter/Nate-Murdock-16284"
"545",545,"/fighter/Yaotzin-Meza-15937"
"546",546,"/fighter/Rodrigo-Sotelo-85555"
"547",547,"/fighter/JR-Sotelo-32288"
"548",548,"/fighter/Kody-Frank-67200"
"549",549,"/fighter/Eddie-Granado-50830"
"550",550,"/fighter/Willie-Mack-45074"
"551",551,"/fighter/Jose-Vega-36310"
"552",552,"/fighter/Jeremy-Carper-59871"
"553",553,"/fighter/Damian-Norris-112393"
"554",554,"/fighter/Ryan-Smith-25949"
"555",555,"/fighter/Robert-Couillard-68143"
"556",556,"/fighter/Donnie-Bell-79137"
"557",557,"/fighter/Michael-Osborn-57392"
"558",558,"/fighter/Mike-Bannon-68932"
"559",559,"/fighter/Francisco-Tavares-34971"
"560",560,"/fighter/Brad-Sustad-49023"
"561",561,"/fighter/Danny-Cox-78273"
"562",562,"/fighter/Maycon-Almeida-62069"
"563",563,"/fighter/Noad-Lahat-35732"
"564",564,"/fighter/Daniel-Weichel-4541"
