"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"214","win","Submission (Guillotine Choke)","Warlley Alves","Nordine Taleb",8,1,8,1,0.625,FALSE,0,5,0,5,13,1,3,0.846153846153846,0.384615384615385,FALSE,0.0769230769230769,5,1,2.5,0,0,0,-1
"215","win","Submission (Guillotine Choke)","Warlley Alves","Colby Covington",9,1,9,1,0.666666666666667,TRUE,0,6,0,6,8,1,8,1,0.625,FALSE,0,5,0,5,1,0,1,0
"216","loss","TKO (Knee and Punches)","Warlley Alves","James Krause",14,1,2,0.857142857142857,0.571428571428571,TRUE,0,8,0,8,32,1,4,0.78125,0.625,FALSE,0.09375,20,3,5,1,0,-12,-3
"217","win","KO (Punch)","Warlley Alves","Sergio Moraes",15,0,-1,0.8,0.533333333333333,FALSE,0.0666666666666667,8,1,4,19,0,-1,0.736842105263158,0.473684210526316,FALSE,0.157894736842105,9,3,2.25,0,1,-1,-2
"218","loss","TKO (Punches)","Ben Saunders","Mike Swick",9,1,7,0.777777777777778,0.666666666666667,TRUE,0.222222222222222,6,2,2,15,1,3,0.866666666666667,0.6,TRUE,0.0666666666666667,9,1,4.5,0,0,-3,1
"219","win","KO (Knees)","Ben Saunders","Marcus Davis",10,0,-1,0.7,0.6,FALSE,0.3,6,3,1.5,21,0,-1,0.761904761904762,0.619047619047619,FALSE,0.0952380952380952,13,2,4.33333333333333,0,1,-7,1
"220","loss","Decision (Unanimous)","Ben Saunders","Jon Fitch",11,1,1,0.727272727272727,0.636363636363636,TRUE,0.272727272727273,7,3,1.75,26,1,3,0.846153846153846,0.423076923076923,FALSE,0.115384615384615,11,3,2.75,1,0,-4,0
"221","win","TKO (Knee to the Body and Punches)","Ben Saunders","Chris Cisneros",15,1,2,0.666666666666667,0.6,TRUE,0.2,9,3,2.25,16,1,7,0.8125,0.6875,FALSE,0.0625,11,1,5.5,1,0,-2,2
"222","loss","KO (Punches)","Ben Saunders","Douglas Lima",17,1,4,0.705882352941177,0.647058823529412,TRUE,0.176470588235294,11,3,2.75,24,1,8,0.833333333333333,0.708333333333333,TRUE,0.0833333333333333,17,2,5.66666666666667,0,0,-6,1
"223","loss","KO (Head Kick)","Ben Saunders","Douglas Lima",23,1,3,0.695652173913043,0.565217391304348,TRUE,0.173913043478261,13,4,2.6,29,1,3,0.827586206896552,0.724137931034483,TRUE,0.0689655172413793,21,2,7,0,0,-8,2
"224","win","Submission (Omoplata)","Ben Saunders","Chris Heatherly",24,0,-1,0.666666666666667,0.541666666666667,FALSE,0.208333333333333,13,5,2.16666666666667,10,1,1,0.8,0.5,TRUE,0.2,5,2,1.66666666666667,-1,1,8,3
"225","win","Decision (Unanimous)","Ben Saunders","Court McGee",29,1,1,0.689655172413793,0.551724137931034,TRUE,0.206896551724138,16,6,2.28571428571429,23,1,1,0.782608695652174,0.434782608695652,FALSE,0.0434782608695652,10,1,5,1,0,6,5
